id,target
49859,Class_2
95835,Class_2
52240,Class_1
15626,Class_3
77950,Class_2
76001,Class_2
30017,Class_2
84215,Class_2
62332,Class_3
14168,Class_3
59034,Class_3
59702,Class_2
5601,Class_3
75804,Class_2
7911,Class_3
39066,Class_3
80681,Class_1
83841,Class_2
71205,Class_2
78373,Class_4
37102,Class_2
74393,Class_3
25870,Class_2
86190,Class_2
49187,Class_2
47889,Class_2
38410,Class_2
94317,Class_2
54764,Class_3
70401,Class_2
72180,Class_2
99349,Class_2
4272,Class_2
27816,Class_4
49090,Class_2
5968,Class_2
11014,Class_4
27595,Class_3
49919,Class_2
20415,Class_2
48383,Class_2
8731,Class_3
66880,Class_2
25884,Class_3
18353,Class_2
65520,Class_2
8018,Class_4
70381,Class_2
226,Class_1
78494,Class_3
49943,Class_2
58964,Class_2
50398,Class_3
90439,Class_2
10259,Class_2
66389,Class_2
31167,Class_4
97613,Class_2
43735,Class_3
41843,Class_1
83814,Class_2
66269,Class_2
12691,Class_2
81281,Class_2
77253,Class_2
17972,Class_3
63051,Class_3
16332,Class_2
78144,Class_2
38004,Class_3
61211,Class_2
6455,Class_3
22918,Class_3
30258,Class_1
1193,Class_2
53402,Class_2
93868,Class_2
51589,Class_2
17190,Class_1
29226,Class_2
37829,Class_3
35002,Class_2
73647,Class_4
5448,Class_2
51201,Class_2
6194,Class_2
16231,Class_2
64258,Class_2
30187,Class_4
88557,Class_3
63054,Class_2
4593,Class_2
45401,Class_2
55526,Class_2
60636,Class_4
16421,Class_2
40717,Class_3
93029,Class_2
59186,Class_2
23868,Class_2
84395,Class_3
92680,Class_1
68270,Class_4
48620,Class_2
74479,Class_2
85176,Class_1
29294,Class_1
51976,Class_2
74238,Class_3
74892,Class_2
57990,Class_2
1419,Class_2
55346,Class_3
7932,Class_3
84348,Class_2
66885,Class_2
84693,Class_4
39569,Class_3
14305,Class_3
17617,Class_2
10062,Class_1
87379,Class_2
56874,Class_2
84336,Class_1
72839,Class_4
41952,Class_2
29650,Class_1
15530,Class_3
13765,Class_3
39161,Class_4
57322,Class_2
1372,Class_3
59971,Class_2
21184,Class_4
55740,Class_3
9105,Class_2
76995,Class_2
24135,Class_3
21793,Class_2
17169,Class_2
17583,Class_1
94825,Class_2
27914,Class_2
2709,Class_2
4155,Class_3
92698,Class_4
75358,Class_3
67246,Class_2
21615,Class_2
85546,Class_2
71382,Class_3
81041,Class_1
65083,Class_2
79585,Class_2
21853,Class_1
15501,Class_3
89720,Class_2
18755,Class_2
96896,Class_2
51613,Class_2
97074,Class_2
91995,Class_1
98804,Class_2
59780,Class_2
65008,Class_2
89257,Class_2
50364,Class_2
38853,Class_2
99566,Class_2
31196,Class_2
41315,Class_4
46961,Class_2
75521,Class_2
77839,Class_2
68663,Class_2
98940,Class_2
50412,Class_2
92336,Class_1
1165,Class_2
28666,Class_2
58455,Class_2
95632,Class_2
