id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,target
80184,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_3
19864,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,4,1,9,1,0,1,5,0,0,0,0,0,2,1,0,0,0,0,1,0,0,Class_2
92991,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,Class_4
76434,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,Class_2
84004,0,0,0,1,0,1,0,1,28,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,Class_2
80917,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,Class_4
50074,0,0,0,0,0,0,1,0,0,1,5,0,0,1,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,5,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Class_2
42141,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,Class_1
45080,0,0,0,0,0,0,0,0,1,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,7,3,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Class_2
16638,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,36,0,0,4,0,0,0,0,0,0,0,0,Class_2
149,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Class_3
63120,0,0,0,0,0,3,0,4,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,Class_2
64883,0,1,0,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11,0,0,0,30,0,0,2,0,21,0,0,0,2,0,0,Class_3
2495,0,15,0,2,0,0,0,0,0,0,0,0,0,2,10,0,1,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
80296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,Class_3
19447,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,Class_2
41331,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,5,0,0,2,0,5,12,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,Class_3
14888,0,0,0,4,0,0,0,4,1,0,0,0,0,0,0,2,0,1,0,14,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Class_2
88636,2,0,4,0,0,1,0,10,2,0,1,0,0,2,2,0,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0,0,3,1,0,0,4,0,0,0,0,0,3,0,0,0,0,14,Class_3
92731,0,0,0,0,0,0,0,0,2,0,0,3,0,0,4,0,1,0,1,0,0,2,0,0,4,0,1,0,0,0,0,0,0,1,3,20,1,0,2,0,0,0,3,0,0,0,0,0,0,0,Class_2
79022,0,0,0,0,0,1,4,7,0,1,0,0,1,0,20,0,0,1,0,7,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,Class_2
15602,0,0,0,1,0,0,2,1,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,9,15,0,0,0,0,36,2,0,0,0,0,0,0,0,0,1,Class_2
96852,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,3,1,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,1,1,12,1,0,2,0,0,0,0,0,6,0,0,0,1,0,3,Class_1
19792,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3,1,1,0,0,0,0,0,0,0,0,6,Class_2
40163,0,0,0,0,0,0,0,0,3,1,0,1,4,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,Class_2
25330,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,5,0,4,0,0,0,3,1,0,3,0,9,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Class_1
4727,0,0,0,8,0,0,0,7,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,6,0,0,0,0,0,0,0,0,0,Class_3
85198,0,0,0,0,0,0,0,3,0,0,0,1,0,1,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,1,0,2,Class_2
35718,6,0,0,0,0,0,0,1,0,3,0,1,2,0,0,3,0,0,0,0,0,0,0,9,0,3,0,1,4,0,0,0,0,0,0,0,0,0,2,0,5,8,0,0,0,0,0,0,3,0,Class_2
70551,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,20,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,Class_3
54374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,2,1,Class_2
39691,0,18,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Class_4
