id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,target
75721,0,0,0,4,0,0,0,0,0,1,1,0,1,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,1,0,Class_4
80184,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_3
19864,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,4,1,9,1,0,1,5,0,0,0,0,0,2,1,0,0,0,0,1,0,0,Class_2
76699,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,5,0,0,2,0,1,0,0,0,2,0,1,Class_3
92991,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,Class_4
76434,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,Class_2
84004,0,0,0,1,0,1,0,1,28,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,Class_2
80917,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,Class_4
60767,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,1,0,0,2,0,2,2,0,0,2,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,Class_2
50074,0,0,0,0,0,0,1,0,0,1,5,0,0,1,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,5,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Class_2
